"id","Date","APPLICATION","OFFERED","ANSWERED","AVG ANS DELAY","AVG ANS DELAY SECONDS","MAX ANS DELAY","ABANDONED","DelayCallsProduct"
"2019-12-02-dba_cs_268_5311_gen_inq_script","2019/12/02","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-12-03-dba_cs_268_5311_gen_inq_script","2019/12/03","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-12-04-dba_cs_268_5311_gen_inq_script","2019/12/04","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-12-05-dba_cs_268_5311_gen_inq_script","2019/12/05","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-12-06-dba_cs_268_5311_gen_inq_script","2019/12/06","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-12-09-dba_cs_268_5311_gen_inq_script","2019/12/09","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-12-10-dba_cs_268_5311_gen_inq_script","2019/12/10","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-12-11-dba_cs_268_5311_gen_inq_script","2019/12/11","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-12-12-dba_cs_268_5311_gen_inq_script","2019/12/12","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-12-13-dba_cs_268_5311_gen_inq_script","2019/12/13","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
